Clase,Etiqueta,RMS,Media,Desviacion_Estandar,Amplitud,Maximo,Minimo
Clase 1,1,0.06998848887181375,0.043447051956658524,0.05487023100767312,0.6531574224048674,0.6531574224048674,1.9856660094999573e-43
Clase 1,2,0.10142212505088521,0.06247041319701605,0.07989927987680162,1.141973780141383,1.1419758900712107,2.1099298277043365e-06
Clase 1,3,0.11280468385094279,0.07292215177516372,0.08606541976421854,1.0124321603875046,1.0124328457480363,6.853605316402939e-07
Clase 1,4,0.1541300164319725,0.11049301124382188,0.10745862660388308,1.3044814388284753,1.3044840486249647,2.6097964892949155e-06
Clase 1,5,0.19865156945617315,0.137427098773308,0.14344420019698334,1.4984898658387897,1.498491763021943,1.8971831531885474e-06
Clase 1,6,0.22328110712688434,0.14670713952127193,0.16831954138867317,1.6928857281837049,1.6928896959415811,3.967757876289525e-06
Clase 2,1,0.27922913005047445,0.16729501211632217,0.2235649480346693,2.0403138485941965,2.0403139614667363,1.1287253968282529e-07
